,,,제품,가격,제조사,종류,E-ATX,ATX,m-ATX,m-ITX,측면,폭,높이,깊이,VGA 장착길이,쿨러 최대높이,외부 색깔,내부 색깔
547,리틀밸리,,[리안리] PC-Q33WA 실버,\138300,리안리,리틀밸리,,,,O,,229mm,328mm,240mm,220mm,180mm,은색,
548,,, ,,,,,,,,,,,,,,,
549,,,-- 써멀테이크 --,,,,,,,,,,,,,,,
550,,, ,,,,,,,,,,,,,,,
551,미들타워,,[써멀테이크] Core P90 강화유리 에디션,\232950,써멀테이크,미들타워,,O,O,O,강화유리,470mm,470mm,615mm,320mm,180mm,,
552,빅타워,,[써멀테이크] View 91 강화유리 RGB Plus 에디션,\555330,써멀테이크,빅타워,O,O,O,O,강화유리,344mm,691mm,645mm,600mm,200mm,,
553,미들타워,,[써멀테이크] Versa C24 RGB 에디션,\68640,써멀테이크,미들타워,,O,O,O,아크릴,213mm,516mm,512mm,380mm,180mm,,
554,미들타워,,[써멀테이크] Versa C22 RGB 에디션,\68640,써멀테이크,미들타워,,O,O,O,아크릴,198mm,538mm,490mm,390mm,160mm,,
555,미들타워,,[써멀테이크] View 22 강화유리 에디션,\68640,써멀테이크,미들타워,,O,O,O,강화유리,223mm,467mm,49mm,400mm,160mm,,
556,빅타워,,[써멀테이크] Core X71 강화유리 에디션,\206610,써멀테이크,빅타워,,O,O,O,강화유리,250mm,677mm,511mm,420mm,180mm,,
557,미들타워,,[써멀테이크] Core X5 강화유리 에디션 아스크텍,\222000,써멀테이크,미들타워,O,O,O,O,강화유리,371mm,463mm,540mm,480mm,230mm,,
558,미들타워,,[써멀테이크] View 21 강화유리 에디션 에스크텍,\94000,써멀테이크,미들타워,,O,O,O,강화유리,208mm,492mm,471mm,410mm,160mm,,
559,미들타워,,[써멀테이크] Core P5 강화유리 스노우 에디션 아스크텍,\310000,써멀테이크,미들타워,,O,O,O,강화유리,333mm,608mm,570mm,570mm,180mm,흰색,흰색
560,빅타워,,[써멀테이크] View 71 강화유리 RGB 에디션 아스크텍,\265000,써멀테이크,빅타워,O,O,O,O,강화유리,274mm,592mm,577mm,410mm,190mm,,
561,미들타워,,[써멀테이크] Core P5 강화유리 에디션 아스크텍,\311000,써멀테이크,미들타워,,O,O,O,강화유리,333mm,608mm,570mm,570mm,180mm,,
562,빅타워,,[써멀테이크] Core W200 아스크텍,\-,써멀테이크,빅타워,O,O,O,O,아크릴,475mm,878mm,678mm,635mm,200mm,,
563,빅타워,,[써멀테이크] Core WP200 아스크텍,\-,써멀테이크,빅타워,O,O,O,O,아크릴,475mm,878mm,678mm,635mm,200mm,,
564,미들타워,,[써멀테이크] Core X5 강화유리 스노우 에디션 아스크텍,\224820,써멀테이크,미들타워,O,O,O,O,강화유리,371mm,463mm,540mm,480mm,230mm,흰색,흰색
565,미들타워,,[써멀테이크] View 31 강화유리 RGB 에디션 아스크텍,\158000,써멀테이크,미들타워,,O,O,O,강화유리,250mm,497mm,511mm,420mm,180mm,,
566,미들타워,,[써멀테이크] Versa C23 강화유리 RGB 에디션 아스크텍,\95000,써멀테이크,미들타워,,O,O,O,강화유리,200mm,510mm,508mm,400mm,155mm,,
567,미들타워,,[써멀테이크] Core X31 강화유리 아스크텍,\145000,써멀테이크,미들타워,,O,O,O,강화유리,250mm,497mm,511mm,420mm,180mm,,
568,리틀밸리,,[써멀테이크] Core P1 강화유리 아스크텍,\140000,써멀테이크,리틀밸리,,,,O,강화유리,332mm,422mm,380mm,380mm,170mm,,
569,미들타워,,[써멀테이크] Core X5 Riing Edition - ATX Cube Chassis 아스크텍,\-,써멀테이크,미들타워,O,O,O,O,아크릴,371mm,463mm,540mm,480mm,230mm,녹색,
570,빅타워,,[써멀테이크] The Tower 900 E-ATX Vertical Super 아스크텍,\304000,써멀테이크,빅타워,O,O,O,O,강화유리,423mm,752mm,483mm,400mm,260mm,,
571,빅타워,,[써멀테이크] The Tower 900 Snow Edition E-ATX Vertical Super 아스크텍,\304000,써멀테이크,빅타워,O,O,O,O,강화유리,423mm,752mm,483mm,400mm,260mm,흰색,흰색
572,미들타워,,[써멀테이크] View27 아스크텍,\85000,써멀테이크,미들타워,,O,O,O,아크릴,201mm,508mm,479mm,410mm,155mm,,
573,빅타워,,[써멀테이크] Core W100 아스크텍,\-,써멀테이크,빅타워,O,O,O,O,아크릴,310mm,677mm,678mm,635mm,200mm,,
574,미들타워,,[써멀테이크] Core P3 SE Snow Edition - Mid Tower Chassis 아스크텍,\144900,써멀테이크,미들타워,,O,O,O,아크릴,333mm,512mm,470mm,450mm,180mm,흰색,흰색
575,미들타워,,[써멀테이크] Core P3 SE Black - Mid Tower Chassis 아스크텍,\133600,써멀테이크,미들타워,,O,O,O,아크릴,333mm,512mm,470mm,450mm,180mm,,
576,미들타워,,[써멀테이크] Suppressor F51 Power Cover Edition 아스크텍,\149190,써멀테이크,미들타워,O,O,O,O,아크릴,230mm,525mm,577mm,465mm,185mm,,
577,빅타워,,[써멀테이크] Core X71 - Full Tower Chassis 아스크텍,\175000,써멀테이크,빅타워,,O,O,O,아크릴,250mm,677mm,511mm,420mm,180mm,,
578,미들타워,,[써멀테이크] Core X5 - ATX Cube Chassis 아스크텍,\187730,써멀테이크,미들타워,O,O,O,O,아크릴,371mm,463mm,540mm,480mm,230mm,,
579,미들타워,,[써멀테이크] Core X31 RGB Edition - Mid Tower Chassis 아스크텍,\148700,써멀테이크,미들타워,,O,O,O,아크릴,250mm,497mm,511mm,420mm,180mm,,
580,미들타워,,[써멀테이크] Suppressor F51 Window 아스크텍,\96570,써멀테이크,미들타워,O,O,O,O,아크릴,230mm,525mm,577mm,465mm,185mm,,
581,미들타워,,[써멀테이크] Core X9 Snow Edition - E-ATX Cube Chassis 아스크텍,\196000,써멀테이크,미들타워,O,O,O,O,아크릴,380mm,502mm,640mm,400mm,250mm,흰색,흰색
582,미들타워,,[써멀테이크] Suppressor F31 아스크텍,\109000,써멀테이크,미들타워,,O,O,O,아크릴,250mm,497mm,515mm,420mm,180mm,,
583,리틀밸리,,[써멀테이크] Suppressor F1 아스크텍,\65040,써멀테이크,리틀밸리,,,,O,,260mm,276mm,319mm,285mm,140mm,,
584,빅타워,,[써멀테이크] Core P5 아스크텍,\166840,써멀테이크,빅타워,,O,O,O,아크릴,333mm,608mm,570mm,320mm,180mm,,
585,리틀밸리,,[써멀테이크] Core V1 Snow Edition Mini ITX Chassis 아스크텍,\60900,써멀테이크,리틀밸리,,,,O,,260mm,276mm,316mm,285mm,140mm,흰색,흰색
586,미들타워,,[써멀테이크] Suppressor F51 아스크텍,\152000,써멀테이크,미들타워,O,O,O,O,아크릴,230mm,525mm,577mm,465mm,185mm,,
587,빅타워,,[써멀테이크] Core V71 - Full-Tower Chassis 아스크텍,\196000,써멀테이크,빅타워,O,O,O,,아크릴,230mm,583mm,560mm,400mm,185mm,,
588,빅타워,,[써멀테이크] Urban T81 - Full-Tower Chassis 아스크텍,\260440,써멀테이크,빅타워,O,O,O,,아크릴,235mm,585mm,602mm,400mm,180mm,,
589,미들타워,,[써멀테이크] Urban T31 - mid-tower chassis 아스크텍,\114980,써멀테이크,미들타워,,O,O,,아크릴,206mm,511mm,500mm,410mm,155mm,,
590,미들타워,,[써멀테이크] Urban R31 - windowed mid-tower chassis 아스크텍,\-,써멀테이크,미들타워,,O,O,,아크릴,206mm,511mm,490mm,290mm,155mm,,
591,미들타워,,[써멀테이크] Core X9 - E-ATX Cube Chassis 아스크텍,\198500,써멀테이크,미들타워,O,O,O,O,아크릴,380mm,502mm,640mm,400mm,250mm,,
592,리틀밸리,,[써멀테이크] Core X1 - ITX Cube Chassis 아스크텍,\103000,써멀테이크,리틀밸리,,,,O,,280mm,426mm,471mm,280mm,200mm,,
593,미들타워,,[써멀테이크] Core V51 - Window Mid-Tower Chassis 아스크텍,\96150,써멀테이크,미들타워,O,O,O,O,아크릴,236mm,540mm,560mm,480mm,185mm,,
594,미니타워,,[써멀테이크] Core V21 - Micro Chassis 아스크텍,\84500,써멀테이크,미니타워,,,O,O,아크릴,320mm,336mm,424mm,350mm,185mm,,
595,리틀밸리,,[써멀테이크] Core V1 - Mini Chassis 아스크텍,\58500,써멀테이크,리틀밸리,,,,O,,260mm,276mm,316mm,285mm,140mm,,
596,빅타워,,[써멀테이크] VN10008W2N Level 10 GT Battle Edition 아스크텍,\267650,써멀테이크,빅타워,O,O,O,,,282mm,584mm,590mm,360mm,190mm,녹색,
597,빅타워,,[써멀테이크] VN10006W2N Level 10 GT Snow Edition 아스크텍,\262880,써멀테이크,빅타워,O,O,O,,,282mm,584mm,590mm,360mm,190mm,흰색,
598,빅타워,,[써멀테이크] VN10001W2N Level 10 GT 아스크텍,\256000,써멀테이크,빅타워,O,O,O,,,282mm,584mm,590mm,360mm,190mm,,
599,,, ,,,,,,,,,,,,,,,
600,,,-- Bravotec --,,,,,,,,,,,,,,,
601,,, ,,,,,,,,,,,,,,,
602,미들타워,,[BRAVOTEC] U4 Black Red 강화유리,\95670,BRAVOTEC,미들타워,,O,O,O,강화유리,205mm,428mm,340mm,310mm,170mm,,
603,미들타워,,[BRAVOTEC] 트레저 X8 830T 타이탄 글래스 화이트,\78990,BRAVOTEC,미들타워,O,O,O,O,강화유리,240mm,485mm,445mm,384mm,175mm,,
604,빅타워,,[BRAVOTEC] 트레저 X10 1200T 타이탄 글래스 블랙,\256880,BRAVOTEC,빅타워,O,O,O,O,강화유리,235mm,590mm,615mm,530mm,190mm,,
605,미니타워,,[BRAVOTEC] JONSBO C3 PLUS Silver,\78000,BRAVOTEC,미니타워,,,O,O,강화유리,218mm,398mm,360mm,340mm,170mm,,
606,미니타워,,[BRAVOTEC] JONSBO C3 PLUS Black,\78000,BRAVOTEC,미니타워,,,O,O,강화유리,218mm,398mm,360mm,340mm,170mm,,
607,미들타워,,[BRAVOTEC] 트레저 X8 830T 타이탄 글래스 블랙,\85900,BRAVOTEC,미들타워,O,O,O,O,강화유리,240mm,485mm,445mm,384mm,175mm,,
608,미들타워,,[BRAVOTEC] JONSBO UMX5 Black,\277000,BRAVOTEC,미들타워,O,O,O,O,강화유리,224mm,485mm,507mm,325mm,166mm,,
609,미들타워,,[BRAVOTEC] JONSBO UMX5 Silver,\277000,BRAVOTEC,미들타워,O,O,O,O,강화유리,224mm,485mm,507mm,325mm,166mm,,
610,미들타워,,[BRAVOTEC] C4 White 강화유리,\97000,BRAVOTEC,미들타워,,O,O,O,강화유리,213mm,450mm,450mm,300mm,167mm,,
611,미들타워,,[BRAVOTEC] U4 White 강화유리,\97000,BRAVOTEC,미들타워,,O,O,O,강화유리,205mm,428mm,340mm,310mm,170mm,흰색,은색
612,리틀밸리,,[BRAVOTEC] U1 PLUS Silver 강화유리,\105000,BRAVOTEC,리틀밸리,,,,O,강화유리,170mm,320mm,220mm,195mm,133mm,은색,
613,미들타워,,[BRAVOTEC] 트레저 X8 870T 타이탄 글래스 리플렉트 에디션,\162190,BRAVOTEC,미들타워,O,O,O,O,강화유리,311mm,404mm,402mm,335mm,168mm,흰색,흰색
614,미들타워,,[BRAVOTEC] 트레저 X8 870T 타이탄 글래스 화이트,\147000,BRAVOTEC,미들타워,O,O,O,O,강화유리,311mm,404mm,402mm,335mm,168mm,흰색,흰색
615,미들타워,,[BRAVOTEC] 트레저 X8 870T 타이탄 글래스 블랙,\147000,BRAVOTEC,미들타워,O,O,O,O,강화유리,311mm,404mm,402mm,335mm,168mm,,
616,미니타워,,[BRAVOTEC] VR2 Silver 강화유리,\162000,BRAVOTEC,미니타워,,,O,O,강화유리,238mm,399.5mm,378mm,320mm,190mm,은색,
617,미니타워,,[BRAVOTEC] VR2 Black 강화유리,\162000,BRAVOTEC,미니타워,,,O,O,강화유리,238mm,399.5mm,378mm,320mm,190mm,,
618,미들타워,,[BRAVOTEC] RM4 Silver 강화유리,\205000,BRAVOTEC,미들타워,,O,O,O,강화유리,215mm,492mm,445mm,380mm,170mm,은색,
619,미들타워,,[BRAVOTEC] RM4 Black 강화유리,\205000,BRAVOTEC,미들타워,,O,O,O,강화유리,215mm,492mm,445mm,380mm,170mm,,
620,미들타워,,[BRAVOTEC] U4 Silver 강화유리,\97000,BRAVOTEC,미들타워,,O,O,O,강화유리,205mm,428mm,340mm,310mm,170mm,은색,은색
621,미들타워,,[BRAVOTEC] U4 Black 강화유리,\97000,BRAVOTEC,미들타워,,O,O,O,강화유리,205mm,428mm,340mm,310mm,170mm,,
622,미들타워,,[BRAVOTEC] 트레저 X3 730L 화이트,\74210,BRAVOTEC,미들타워,,O,O,O,아크릴,220mm,470mm,430mm,340mm,175mm,흰색,
623,빅타워,,[BRAVOTEC] 트레저 X6 630T 타이탄 글래스 스노우 화이트,\138320,BRAVOTEC,빅타워,O,O,O,O,강화유리,227mm,498mm,491mm,420mm,170mm,흰색,흰색
624,미니타워,,[BRAVOTEC] 디파이 B45 블랙 화이트,\45000,BRAVOTEC,미니타워,,,O,O,아크릴,265mm,355mm,372mm,295mm,180mm,흰검,
625,리틀밸리,,[BRAVOTEC] MOD1 MINI Black 강화유리,\264000,BRAVOTEC,리틀밸리,,,,O,강화유리,238mm,386.5mm,239mm,300mm,180mm,검빨,
626,리틀밸리,,[BRAVOTEC] VR1 Black 강화유리,\120000,BRAVOTEC,리틀밸리,,,,O,강화유리,238mm,386.5mm,239mm,300mm,180mm,검빨,
627,리틀밸리,,[BRAVOTEC] VR1 Silver 강화유리,\120000,BRAVOTEC,리틀밸리,,,,O,강화유리,238mm,386.5mm,239mm,300mm,180mm,은색,
628,미들타워,,[BRAVOTEC] MOD1 Black 강화유리,\264000,BRAVOTEC,미들타워,,O,O,O,강화유리,250mm,505mm,638mm,400mm,175mm,검빨,
629,빅타워,,[BRAVOTEC] 트레저 X6 630S 파노라마 윈도우 화이트,\103000,BRAVOTEC,빅타워,O,O,O,O,아크릴,213mm,498mm,490mm,420mm,170mm,흰색,
630,빅타워,,[BRAVOTEC] 트레저 X6 630S 파노라마 윈도우 블랙,\97000,BRAVOTEC,빅타워,O,O,O,O,아크릴,213mm,498mm,490mm,420mm,170mm,,
631,빅타워,,[BRAVOTEC] 트레저 X6 630T 타이탄 글래스 화이트,\151400,BRAVOTEC,빅타워,O,O,O,O,강화유리,227mm,498mm,491mm,420mm,170mm,흰색,
632,빅타워,,[BRAVOTEC] 트레저 X6 630T 타이탄 글래스 블랙,\132000,BRAVOTEC,빅타워,O,O,O,O,강화유리,227mm,498mm,491mm,420mm,170mm,,
633,미들타워,,[BRAVOTEC] 트레저 X3 730L 블랙,\58000,BRAVOTEC,미들타워,,O,O,O,아크릴,220mm,470mm,430mm,340mm,175mm,,
634,리틀밸리,,[BRAVOTEC] UMX1 PLUS Silver 강화유리,\151000,BRAVOTEC,리틀밸리,,,,O,강화유리,160mm,345mm,300mm,270mm,130mm,은색,
635,미들타워,,[BRAVOTEC] W2 Silver 강화유리,\194000,BRAVOTEC,미들타워,,O,O,O,강화유리,279mm,385mm,396mm,320mm,163mm,은색,
636,미니타워,,[BRAVOTEC] 디파이 B40 화이트,\43000,BRAVOTEC,미니타워,,,O,O,아크릴,265mm,330mm,345mm,295mm,180mm,흰색,
637,미니타워,,[BRAVOTEC] 디파이 B40 BLACK,\38000,BRAVOTEC,미니타워,,,O,O,아크릴,265mm,330mm,345mm,295mm,180mm,,
638,미니타워,,[BRAVOTEC] UMX3 Black 강화유리,\154000,BRAVOTEC,미니타워,,,O,O,강화유리,188mm,365mm,358mm,320mm,163mm,,
639,미니타워,,[BRAVOTEC] UMX3 Silver 강화유리,\168050,BRAVOTEC,미니타워,,,O,O,강화유리,188mm,365mm,358mm,320mm,163mm,은색,
640,미니타워,,[BRAVOTEC] RM3 Black 강화유리,\139000,BRAVOTEC,미니타워,,,O,O,강화유리,215mm,385mm,336mm,310mm,170mm,,
641,,, ,,,,,,,,,,,,,,,
642,,,-- COUGAR --,,,,,,,,,,,,,,,
643,,, ,,,,,,,,,,,,,,,
644,빅타워,,[COUGAR] PANZER EVO,\-,COUGAR,빅타워,O,O,O,O,강화유리,266mm,612mm,556mm,390mm,170mm,,
645,미들타워,,[COUGAR] CONQUER 강화유리 BRAVOTEC,\377520,COUGAR,미들타워,,O,O,O,강화유리,255mm,580mm,685mm,350mm,190mm,검주,
646,미들타워,,[COUGAR] PANZER 강화유리 BRAVOTEC,\96000,COUGAR,미들타워,,O,O,O,강화유리,208mm,565mm,520mm,425mm,160mm,,
647,리틀밸리,,[COUGAR] QBX KAZE BRAVOTEC,\79300,COUGAR,리틀밸리,,,,O,,180mm,299mm,386mm,350mm,105mm,,
648,빅타워,,[COUGAR] PANZER MAX BRAVOTEC,\175310,COUGAR,빅타워,O,O,O,O,아크릴,266mm,612mm,556mm,380mm,170mm,,
649,,, ,,,,,,,,,,,,,,,
650,,,-- DEEPCOOL --,,,,,,,,,,,,,,,
651,,, ,,,,,,,,,,,,,,,
652,미들타워,,[DEEPCOOL] GAMER STORM NEW ARK 90 BLACK,\399000,DEEPCOOL,미들타워,O,O,O,O,강화유리,232mm,545.5mm,530mm,400mm,186mm,,
653,미들타워,,[DEEPCOOL] GAMER STORM QUADSTELLEAR 아우라 싱크,\-,DEEPCOOL,미들타워,O,O,O,O,강화유리,483mm,538mm,493mm,380mm,110mm,,
654,미들타워,,[DEEPCOOL] EARLKASE RGB BRAVOTEC,\94200,DEEPCOOL,미들타워,,O,O,O,강화유리,203.5mm,510.5mm,500mm,300mm,160mm,,
655,미들타워,,[DEEPCOOL] GENOME ROG Edition BRAVOTEC,\388960,DEEPCOOL,미들타워,,O,O,O,아크릴,210mm,505mm,506mm,330mm,168mm,검빨,
656,미들타워,,[DEEPCOOL] DUKASE BLACK BRAVOTEC,\-,DEEPCOOL,미들타워,,O,O,O,아크릴,202mm,504mm,482.7mm,390mm,160mm,,
657,미들타워,,[DEEPCOOL] GENOME 화이트 블루 BRAVOTEC,\357090,DEEPCOOL,미들타워,,O,O,O,아크릴,210mm,505mm,506mm,330mm,168mm,흰파,흰색
658,미들타워,,[DEEPCOOL] GENOME BLACK GREEN BRAVOTEC,\360000,DEEPCOOL,미들타워,,O,O,O,아크릴,210mm,505mm,506mm,330mm,168mm,검초,
659,미들타워,,[DEEPCOOL] GENOME Black RED BRAVOTEC,\360000,DEEPCOOL,미들타워,,O,O,O,아크릴,210mm,505mm,506mm,330mm,168mm,검빨,
660,미니타워,,[DEEPCOOL] TriStellar SW BRAVOTEC,\670000,DEEPCOOL,미니타워,,,,O,,435mm,388mm,395mm,320mm,85mm,검흰,
661,,, ,,,,,,,,,,,,,,,
662,,,-- NZXT --,,,,,,,,,,,,,,,
663,,, ,,,,,,,,,,,,,,,
664,미들타워,,[NZXT] H700i Black BLUE,\277000,NZXT,미들타워,O,O,O,O,강화유리,230mm,516mm,494mm,413mm,185mm,,
665,미들타워,,[NZXT] S340 ELITE Limited Purple Edition,\165000,NZXT,미들타워,,O,O,O,강화유리,203mm,474mm,432mm,364mm,161mm,,
666,리틀밸리,,[NZXT] H200i Black RED,\183040,NZXT,리틀밸리,,,,O,강화유리,210mm,349mm,372mm,325mm,165mm,,
667,리틀밸리,,[NZXT] H200i Matte Black,\183040,NZXT,리틀밸리,,,,O,강화유리,210mm,349mm,372mm,325mm,165mm,,
668,리틀밸리,,[NZXT] H200i Matte White,\183040,NZXT,리틀밸리,,,,O,강화유리,210mm,349mm,372mm,325mm,165mm,,
669,미니타워,,[NZXT] H400i Matte Black,\213000,NZXT,미니타워,,,O,O,강화유리,210mm,417mm,421mm,411mm,164mm,,
670,미니타워,,[NZXT] H400i Matte White,\213000,NZXT,미니타워,,,O,O,강화유리,210mm,417mm,421mm,411mm,164mm,,
671,미니타워,,[NZXT] H400i Black RED,\213000,NZXT,미니타워,,,O,O,강화유리,210mm,417mm,421mm,411mm,164mm,,
672,미들타워,,[NZXT] H700i Matte White,\277000,NZXT,미들타워,O,O,O,O,강화유리,230mm,516mm,494mm,413mm,185mm,,
673,미들타워,,[NZXT] H700i Matte Black,\277000,NZXT,미들타워,o,o,o,o,강화유리,230mm,516mm,494mm,413mm,185mm,,
674,미들타워,,[NZXT] H700i Black RED,\277000,NZXT,미들타워,O,O,O,O,강화유리,230mm,516mm,494mm,413mm,185mm,,
675,미들타워,,[NZXT] NOCTIS 450 ROG EDITION BRAVOTEC,\265000,NZXT,미들타워,,O,O,O,아크릴,220mm,567mm,550mm,406mm,180mm,,
676,미들타워,,[NZXT] S340 ELITE Black Red BRAVOTEC,\143000,NZXT,미들타워,,O,O,O,강화유리,203mm,474mm,432mm,364mm,161mm,,빨강
677,미들타워,,[NZXT] S340 ELITE 화이트 BRAVOTEC,\143000,NZXT,미들타워,,O,O,O,강화유리,203mm,474mm,432mm,364mm,161mm,흰색,흰색
678,미들타워,,[NZXT] S340 ELITE Black BRAVOTEC,\143000,NZXT,미들타워,,O,O,O,강화유리,203mm,474mm,432mm,364mm,161mm,,
679,미들타워,,[NZXT] H440 2017 RAZER Edition BRAVOTEC,\230000,NZXT,미들타워,,O,O,O,아크릴,220mm,512mm,480mm,406mm,180mm,,
680,리틀밸리,,[NZXT] MANTA 화이트 Window BRAVOTEC,\215000,NZXT,리틀밸리,,,,O,아크릴,245mm,426mm,450mm,363mm,160mm,흰색,흰색
681,미들타워,,[NZXT] H440 2017 Black BRAVOTEC,\206000,NZXT,미들타워,,O,O,O,아크릴,220mm,512mm,480mm,406mm,180mm,검빨,
682,리틀밸리,,[NZXT] MANTA Black RED Window BRAVOTEC,\216000,NZXT,리틀밸리,,,,O,아크릴,245mm,426mm,450mm,363mm,160mm,검빨,빨강
683,리틀밸리,,[NZXT] MANTA Black Window BRAVOTEC,\215000,NZXT,리틀밸리,,,,O,아크릴,245mm,426mm,450mm,363mm,160mm,,
684,미들타워,,[NZXT] H440 2017 화이트 BRAVOTEC,\206000,NZXT,미들타워,,O,O,O,아크릴,220mm,512mm,480mm,406mm,180mm,흰색,흰색
685,미들타워,,[NZXT] Phantom 240 Red BRAVOTEC,\108000,NZXT,미들타워,,O,O,O,아크릴,195mm,530mm,529mm,400mm,158mm,검빨,
686,미들타워,,[NZXT] NOCTIS 450 화이트 BRAVOTEC,\216000,NZXT,미들타워,,O,O,O,아크릴,220mm,567mm,550mm,406mm,180mm,흰색,흰색
687,미들타워,,[NZXT] NOCTIS 450 Black BRAVOTEC,\216000,NZXT,미들타워,,O,O,O,아크릴,220mm,567mm,550mm,406mm,180mm,,
688,미들타워,,[NZXT] S340 화이트 BRAVOTEC,\156640,NZXT,미들타워,,O,O,O,아크릴,200mm,445mm,432mm,364mm,161mm,흰색,흰색
689,미들타워,,[NZXT] S340 Black BRAVOTEC,\97000,NZXT,미들타워,,O,O,O,아크릴,200mm,445mm,432mm,364mm,161mm,,
690,빅타워,,[NZXT] Switch 810 Black BRAVOTEC,\255000,NZXT,빅타워,,O,O,,아크릴,235mm,605mm,577mm,375mm,195mm,,
691,빅타워,,[NZXT] Switch 810 화이트 BRAVOTEC,\247250,NZXT,빅타워,,O,O,,아크릴,235mm,605mm,577mm,375mm,195mm,흰색,흰색
692,미들타워,,[NZXT] Phantom 240 화이트 BRAVOTEC,\108000,NZXT,미들타워,,O,O,O,아크릴,195mm,530mm,529mm,400mm,158mm,흰색,흰색
693,미들타워,,[NZXT] H440 Orange BRAVOTEC,\206900,NZXT,미들타워,,O,O,O,아크릴,220mm,510mm,475.3mm,406.2mm,180mm,검주,
694,미들타워,,[NZXT] H440 Green BRAVOTEC,\206900,NZXT,미들타워,,O,O,O,아크릴,220mm,510mm,475.3mm,406.2mm,180mm,검초,
695,미들타워,,[NZXT] H440 Blue BRAVOTEC,\230000,NZXT,미들타워,,O,O,O,아크릴,220mm,510mm,475.3mm,406.2mm,180mm,검파,
696,미들타워,,[NZXT] H230 Black BRAVOTEC,\124000,NZXT,미들타워,,O,O,O,,220mm,447mm,502mm,400mm,158mm,,
697,미들타워,,[NZXT] H230 화이트 BRAVOTEC,\-,NZXT,미들타워,,O,O,O,,220mm,447mm,502mm,400mm,158mm,흰색,흰색
698,미들타워,,[NZXT] H440 Black BRAVOTEC,\201000,NZXT,미들타워,,O,O,O,아크릴,220mm,510mm,475.3mm,406.2mm,180mm,검빨,
699,미들타워,,[NZXT] H440 화이트 BRAVOTEC,\221130,NZXT,미들타워,,O,O,O,아크릴,220mm,510mm,475.3mm,406.2mm,180mm,흰색,흰색
700,빅타워,,[NZXT] Phantom 630 화이트 Window Edition BRAVOTEC,\286000,NZXT,빅타워,O,O,O,,아크릴,221mm,627mm,600mm,325mm,200mm,흰색,흰색
701,빅타워,,[NZXT] Phantom 630 Black Window Edition BRAVOTEC,\286000,NZXT,빅타워,O,O,O,,아크릴,221mm,627mm,600mm,325mm,200mm,,
702,빅타워,,[NZXT] Source 530 Black BRAVOTEC,\177900,NZXT,빅타워,O,O,O,O,아크릴,221mm,507mm,510.5mm,310mm,183mm,,
703,빅타워,,[NZXT] H630 Black BRAVOTEC,\243770,NZXT,빅타워,O,O,O,,,221mm,547mm,567mm,354mm,190mm,,
704,빅타워,,[NZXT] H630 화이트 BRAVOTEC,\276900,NZXT,빅타워,O,O,O,,,221mm,547mm,567mm,354mm,190mm,흰색,흰색
705,빅타워,,[NZXT] Phantom 530 화이트 BRAVOTEC,\216000,NZXT,빅타워,O,O,O,,아크릴,221mm,572mm,543mm,310mm,183mm,흰색,흰색
706,빅타워,,[NZXT] Phantom 530 Red BRAVOTEC,\252900,NZXT,빅타워,O,O,O,,아크릴,221mm,572mm,543mm,310mm,183mm,검빨,빨강
707,빅타워,,[NZXT] H630 화이트 Window Edition BRAVOTEC,\243770,NZXT,빅타워,O,O,O,,아크릴,221mm,547mm,567mm,354mm,190mm,흰색,흰색
708,빅타워,,[NZXT] H630 Black Window Edition BRAVOTEC,\243770,NZXT,빅타워,O,O,O,,아크릴,221mm,547mm,567mm,354mm,190mm,,
709,빅타워,,[NZXT] Phantom 820 Gunmetal Grey Window Edition BRAVOTEC,\407260,NZXT,빅타워,O,O,O,,아크릴,235mm,650mm,612mm,333mm,183mm,회색,
710,,, ,,,,,,,,,,,,,,,
711,,,-- Phanteks --,,,,,,,,,,,,,,,
712,,, ,,,,,,,,,,,,,,,
713,리틀밸리,,[Phanteks] EVOLV SHIFT X AG,\245000,Phanteks,리틀밸리,,,,O,강화유리,170mm,650mm,274mm,529mm,82mm,,
714,리틀밸리,,[Phanteks] EVOLV SHIFT X BK,\245000,Phanteks,리틀밸리,,,,O,강화유리,170mm,650mm,274mm,529mm,82mm,,
715,리틀밸리,,[Phanteks] EVOLV SHIFT AG,\178000,Phanteks,리틀밸리,,,,O,강화유리,170mm,470mm,274mm,350mm,82mm,,
716,리틀밸리,,[Phanteks] EVOLV SHIFT BK,\178000,Phanteks,리틀밸리,,,,O,강화유리,170mm,470mm,274mm,350mm,82mm,,
717,미들타워,,[Phanteks] ECLIPSE P300 TG,\93000,Phanteks,미들타워,O,O,O,O,강화유리,200mm,450mm,400mm,330mm,160mm,,
718,미니타워,,[Phanteks] EVOLV MATX TG AG,\198000,Phanteks,미니타워,,,O,O,강화유리,230mm,453mm,400mm,319mm,192mm,,
719,미들타워,,[Phanteks] ENTHOO PRO M TG SE,\176000,Phanteks,미들타워,O,O,O,O,강화유리,235mm,480mm,500mm,420mm,194mm,,
720,미니타워,,[Phanteks] Enthoo EVOLV MATX TG BK,\198000,Phanteks,미니타워,,,O,O,강화유리,230mm,453mm,400mm,319mm,192mm,,
721,미니타워,,[Phanteks] Enthoo EVOLV MATX TG GS,\198000,Phanteks,미니타워,,,O,O,강화유리,230mm,453mm,400mm,319mm,192mm,은색,
